pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
CHEMBL_MMP_01646,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CN)OCO3,ChEMBL-37/mmpdb,[*:1]C1CC1>>[*:1]CN,264,169,False,,0.7414,0.7075,,2.223
CHEMBL_MMP_01647,COc1ccc(-c2nnc3nc4ccccc4n3c2O)cc1,Oc1c(-c2ccccc2)nnc2nc3ccccc3n12,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],250,158,False,,0.8333,0.7374,,2.1984
CHEMBL_MMP_01648,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccc(C#N)cc1,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1][H],341,231,False,,0.8085,0.6992,,2.0717
CHEMBL_MMP_01649,CCCc1cc(OC)c(CC(C)N)cc1OC,COc1cc(CC(C)N)c(OC)cc1O,ChEMBL-37/mmpdb,[*:1]CCC>>[*:1]O,216,155,False,,0.6944,0.6317,,0.9941
CHEMBL_MMP_01650,CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1C,CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1CC,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,156,105,True,1,1.0,0.7965,META025,1.074
CHEMBL_MMP_01651,COC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,272,173,True,1,1.0,0.8386,STER_011;ETHER003;META025;EST002,0.9731
CHEMBL_MMP_01652,Cc1ccc(N(CCN)C(=O)c2ccc(Cl)cc2Cl)cc1,NCCN(C(=O)c1ccc(Cl)cc1Cl)c1ccc(F)cc1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]F,285,181,True,1,1.0,0.7715,META023,1.5002
CHEMBL_MMP_01653,CC(C)NCC(O)COC(=O)c1ccc(CO)cc1,CC(C)NCC(O)COC(=O)c1ccc(N)cc1,ChEMBL-37/mmpdb,[*:1]CO>>[*:1]N,166,107,False,,0.7632,0.7139,,0.8103
CHEMBL_MMP_01654,CCc1cc(OC)c(CC(C)N)cc1OC,COc1cc(CC(C)N)c(OC)cc1I,ChEMBL-37/mmpdb,[*:1]CC>>[*:1]I,214,151,False,,0.6667,0.6257,,0.9322
CHEMBL_MMP_01655,Cc1cc(N)ccc1C(=O)OCC(O)CNC(C)(C)C,Cc1ccccc1C(=O)OCC(O)CNC(C)(C)C,ChEMBL-37/mmpdb,[*:1]N>>[*:1][H],227,145,False,,0.6957,0.6642,,0.975
CHEMBL_MMP_01656,O=C(NCCCCn1ccnc1)c1cc2cc(Cl)ccc2[nH]1,O=C(NCCCCn1ccnc1)c1cc2ccccc2[nH]1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1][H],190,125,False,,1.0,0.7298,,1.4874
CHEMBL_MMP_01657,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,CCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,ChEMBL-37/mmpdb,[*:1]C1CC1>>[*:1]CC,264,169,False,,0.7414,0.7166,,2.1629
CHEMBL_MMP_01658,C=CCc1cc2c(cc1O)CCO2,OCCCc1cc2c(cc1O)CCO2,ChEMBL-37/mmpdb,[*:1]CC=C>>[*:1]CCCO,165,117,False,,0.7059,0.5341,,1.0327
CHEMBL_MMP_01659,CCC1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1C,CCC1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2NC1CC,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,156,104,True,1,1.0,0.7996,META025,1.1466
CHEMBL_MMP_01660,COc1ccc2c(c1)c(CCN(C)C)cn2C,CCn1cc(CCN(C)C)c2cc(OC)ccc21,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,181,124,True,1,1.0,0.7009,META025,1.4416
CHEMBL_MMP_01661,Clc1ncnc2c1ncn2Cc1ccccc1,CNc1ncnc2c1ncn2Cc1ccccc1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1]NC,144,90,False,,0.6341,0.5376,,1.3468
CHEMBL_MMP_01662,NC(=O)c1cc(-c2ccc(Cl)cc2)nnc1Cl,COc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1]OC,135,85,False,,0.675,0.6251,,1.2617
CHEMBL_MMP_01663,COc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,CNc1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3OC)cccc12,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],332,208,False,,0.75,0.7063,,2.5228
CHEMBL_MMP_01664,CCC1CC(CC)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,ChEMBL-37/mmpdb,[*:1]CC>>[*:1][H],136,97,False,,0.6429,0.6395,,1.3279
CHEMBL_MMP_01665,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12,ChEMBL-37/mmpdb,[*:1]Br>>[*:1][H],319,195,False,,0.6875,0.6215,,1.8928
CHEMBL_MMP_01666,COc1cc(OC)c(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)cc1OC,COc1ccc(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)c(OC)c1,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],317,217,False,,0.7321,0.7252,,2.6041
CHEMBL_MMP_01667,Cc1ccc(C(=O)NCCCn2ccnc2)s1,O=C(NCCCn1ccnc1)c1ccc(Cl)s1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]Cl,91,61,True,1,1.0,0.7073,RING_117,0.1823
CHEMBL_MMP_01668,c1ccc(Cn2cnc3c(NC4CC4)ncnc32)cc1,OCCNc1ncnc2c1ncn2Cc1ccccc1,ChEMBL-37/mmpdb,[*:1]C1CC1>>[*:1]CCO,148,95,False,,0.6,0.5574,,0.9272
